[2024-07-22T22:48:43.735+0000] {processor.py:161} INFO - Started process (PID=12054) to work on /home/airflow/.local/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2024-07-22T22:48:43.737+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-07-22T22:48:43.738+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.737+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2024-07-22T22:48:43.762+0000] {processor.py:840} INFO - DAG(s) 'dataset_consumes_1', 'dataset_produces_2', 'dataset_produces_1', 'dataset_consumes_1_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1_and_2', 'consume_1_or_both_2_and_3_with_dataset_expressions' retrieved from /home/airflow/.local/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2024-07-22T22:48:43.848+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.847+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-07-22T22:48:43.884+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.883+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-07-17 01:00:00+00:00, run_after=2024-07-17 01:00:00+00:00
[2024-07-22T22:48:43.889+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.888+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-07-22T22:48:43.891+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.891+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-07-22T22:48:43.893+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.893+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-07-22T22:48:43.895+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.895+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-07-22T22:48:43.897+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.897+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-07-22T22:48:43.899+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.898+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-07-22T22:48:43.900+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.900+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-07-22T22:48:43.904+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.903+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-07-21 00:00:00+00:00, run_after=2024-07-22 00:00:00+00:00
[2024-07-22T22:48:43.905+0000] {logging_mixin.py:188} INFO - [2024-07-22T22:48:43.905+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-07-22T22:48:43.953+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py took 0.229 seconds
